step,timestamp,bandwidth_kbps_raw,bandwidth_bps,bandwidth_mbps
105,2018.01.19_07.33.47,7549.0,7549000.0,7.549
106,2018.01.19_07.33.49,17223.0,17223000.0,17.223
107,2018.01.19_07.33.50,12816.0,12816000.0,12.816
108,2018.01.19_07.33.51,16541.0,16541000.0,16.541
109,2018.01.19_07.33.52,22267.0,22267000.0,22.267
110,2018.01.19_07.33.53,20600.0,20600000.0,20.6
111,2018.01.19_07.33.54,15512.0,15512000.0,15.512
112,2018.01.19_07.33.55,19057.0,19057000.0,19.057
113,2018.01.19_07.33.56,17111.0,17111000.0,17.111
114,2018.01.19_07.33.57,8757.0,8757000.0,8.757
115,2018.01.19_07.33.59,4048.0,4048000.0,4.048
116,2018.01.19_07.34.00,11463.0,11463000.0,11.463
117,2018.01.19_07.34.01,24280.0,24280000.0,24.28
118,2018.01.19_07.34.02,24996.0,24996000.0,24.996
119,2018.01.19_07.34.03,23005.0,23005000.0,23.005
120,2018.01.19_07.34.04,23229.0,23229000.0,23.229
121,2018.01.19_07.34.05,21305.0,21305000.0,21.305
122,2018.01.19_07.34.06,14986.0,14986000.0,14.986
123,2018.01.19_07.34.08,10222.0,10222000.0,10.222
124,2018.01.19_07.34.09,9586.0,9586000.0,9.586
125,2018.01.19_07.34.10,13614.0,13614000.0,13.614
126,2018.01.19_07.34.11,13901.0,13901000.0,13.901
127,2018.01.19_07.34.12,20959.0,20959000.0,20.959
128,2018.01.19_07.34.13,31197.0,31197000.0,31.197
129,2018.01.19_07.34.14,32556.0,32556000.0,32.556
130,2018.01.19_07.34.15,31371.0,31371000.0,31.371
131,2018.01.19_07.34.16,30331.0,30331000.0,30.331
132,2018.01.19_07.34.17,30588.0,30588000.0,30.588
133,2018.01.19_07.34.19,32702.0,32702000.0,32.702
134,2018.01.19_07.34.20,24930.0,24930000.0,24.93
135,2018.01.19_07.34.21,21115.0,21115000.0,21.115
136,2018.01.19_07.34.22,28352.0,28352000.0,28.352
137,2018.01.19_07.34.23,35363.0,35363000.0,35.363
138,2018.01.19_07.34.24,38888.0,38888000.0,38.888
139,2018.01.19_07.34.25,44691.0,44691000.0,44.691
140,2018.01.19_07.34.26,38361.0,38361000.0,38.361
141,2018.01.19_07.34.27,34379.0,34379000.0,34.379
142,2018.01.19_07.34.29,21596.0,21596000.0,21.596
143,2018.01.19_07.34.30,11754.0,11754000.0,11.754
144,2018.01.19_07.34.31,11698.0,11698000.0,11.698
145,2018.01.19_07.34.32,15077.0,15077000.0,15.077
146,2018.01.19_07.34.33,14315.0,14315000.0,14.315
147,2018.01.19_07.34.34,22289.0,22289000.0,22.289
148,2018.01.19_07.34.35,29402.0,29402000.0,29.402
149,2018.01.19_07.34.36,25275.0,25275000.0,25.275
150,2018.01.19_07.34.37,25443.0,25443000.0,25.443
151,2018.01.19_07.34.39,17424.0,17424000.0,17.424
152,2018.01.19_07.34.40,14226.0,14226000.0,14.226
153,2018.01.19_07.34.41,14539.0,14539000.0,14.539
154,2018.01.19_07.34.42,18520.0,18520000.0,18.52
155,2018.01.19_07.34.43,24012.0,24012000.0,24.012
156,2018.01.19_07.34.44,29637.0,29637000.0,29.637
157,2018.01.19_07.34.45,21238.0,21238000.0,21.238
158,2018.01.19_07.34.46,20600.0,20600000.0,20.6
159,2018.01.19_07.34.47,23307.0,23307000.0,23.307
160,2018.01.19_07.34.48,29525.0,29525000.0,29.525
161,2018.01.19_07.34.50,56881.0,56881000.0,56.881
162,2018.01.19_07.34.51,46223.0,46223000.0,46.223
163,2018.01.19_07.34.52,44344.0,44344000.0,44.344
164,2018.01.19_07.34.53,41246.0,41246000.0,41.246
165,2018.01.19_07.34.54,42219.0,42219000.0,42.219
166,2018.01.19_07.34.55,57989.0,57989000.0,57.989
167,2018.01.19_07.34.56,55886.0,55886000.0,55.886
168,2018.01.19_07.34.57,59297.0,59297000.0,59.297
169,2018.01.19_07.34.58,61813.0,61813000.0,61.813
170,2018.01.19_07.34.59,53839.0,53839000.0,53.839
171,2018.01.19_07.35.00,43326.0,43326000.0,43.326
172,2018.01.19_07.35.02,56837.0,56837000.0,56.837
